FIPS,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More races
Geo_FIPS,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008
6089,177693,155637,1633,4116,4720,319,3619,7649
6091,3163,2949,36,10,4,18,133,13
6093,44673,38804,555,1235,601,168,500,2810
6095,414209,218264,58858,2186,61211,3642,40287,29761
6097,483456,391986,7739,5785,19747,1497,39827,16875
6099,515115,398065,14493,5044,26609,3748,44810,22346
6101,94615,63070,1667,1362,13240,280,9315,5681
6103,63200,54624,376,1518,704,57,3272,2649
6105,13693,12130,119,185,168,37,131,923
6107,441877,351770,7163,5545,14715,437,46744,15503
6109,55205,48178,1131,913,609,64,2157,2153
6111,822794,600242,14795,8733,57239,1360,107010,33415
6113,200873,134265,5054,2417,25873,1171,20694,11399
6115,72244,50907,2003,1085,5104,263,7561,5321
8001,442996,351099,14084,4751,15792,546,40122,16602
8003,15750,12652,115,182,152,14,1409,1226
8005,574357,432797,57554,4743,28224,1174,26112,23753
8007,12109,10827,58,85,117,9,464,549
8009,3783,3580,16,33,30,2,44,78
8011,6192,4985,525,169,85,0,287,141
8013,297218,260736,2667,1170,11927,122,12448,8148
8014,55913,48998,446,144,2881,14,1032,2398
8015,17879,16799,500,140,60,0,260,120
8017,2095,2056,5,5,11,0,4,14
8019,9059,8566,33,58,45,0,154,203
8021,8241,6857,6,71,13,0,463,831
8023,3556,2922,12,23,23,0,162,414
8025,5747,4777,441,94,45,14,261,115
8027,4208,4107,38,10,14,0,17,22
8029,30710,28977,306,194,174,0,647,412
8031,604356,444522,61274,7162,20729,732,50672,19265
8033,1806,1745,0,19,4,2,0,36
8035,286883,261685,3202,790,11183,92,2728,7203
8037,51850,46717,156,228,559,0,3268,922
8039,23058,21930,73,163,163,3,159,567
8041,622816,508314,37927,4847,16102,1808,21592,32226
8043,47006,39965,2791,904,495,59,1938,854
8045,56330,50756,630,287,323,107,3246,981
8047,5358,4983,44,17,21,0,120,173
8049,14608,13722,87,66,128,12,442,151
8051,15385,14660,121,59,113,0,232,200
8053,790,783,0,0,0,0,0,7
8055,6730,4700,137,426,50,0,486,931
8057,1397,1351,4,10,6,0,15,11
8059,536095,484284,5837,4040,13889,251,14133,13661
8061,1393,1366,2,2,11,0,0,12
8063,8210,7668,259,65,25,7,105,81
8065,7372,5804,75,176,55,10,1075,177
8067,51443,44963,246,3240,364,39,1539,1052
8069,300870,274662,2504,1719,5507,340,7522,8616
8071,15385,13203,175,325,79,37,1037,529
8073,5443,4657,499,119,9,19,64,76
8075,22541,21164,327,64,143,6,394,443
8077,146562,132245,956,1584,970,159,6686,3962
8079,702,680,9,5,1,0,6,1
8081,13547,12550,47,287,111,14,340,198
8083,25424,21409,26,2841,151,0,301,696
8085,40994,37310,260,308,227,49,1552,1288
8087,28200,25478,728,175,44,19,1187,569
8089,18791,16837,76,597,82,0,825,374
8091,4445,4342,0,13,26,0,0,64
8093,16168,15566,5,91,137,24,13,332
8095,4380,4180,16,18,19,0,81,66
8097,17000,16226,94,130,203,2,172,173
8099,12539,11707,38,72,52,0,379,291
8101,159072,130563,3148,3020,1035,134,14625,6547
8103,6728,6406,48,103,22,0,46,103
8105,11925,9541,69,300,37,2,1612,364
8107,23385,22494,91,72,273,0,178,277
8109,6189,5010,29,91,13,4,644,398
8111,747,709,0,4,7,0,15,12
8113,7432,7181,15,29,118,0,16,73
8115,2389,2291,6,2,13,5,28,44
8117,27753,25241,164,214,276,82,1504,272
8119,23163,21938,191,187,216,21,263,347
8121,4796,4643,20,48,10,0,30,45
8123,253552,225338,2197,2286,3274,100,13473,6884
8125,10032,9529,15,22,14,0,204,248
9001,918892,699870,99871,1439,42880,323,56527,17982
9003,893504,654726,117181,2327,38823,397,55599,24451
9005,189277,178558,2229,507,3099,8,1776,3100
9007,165639,147872,7618,126,4430,82,2094,3417
9009,860995,649827,107283,2188,30743,416,49374,21164
9011,273723,226453,14834,1472,11859,188,8268,10649
9013,152137,136874,4411,135,5101,14,1758,3844
9015,118046,108037,2233,337,1420,44,2864,3111
10001,162785,112428,39023,899,3380,141,1882,5032
10003,539665,363926,128385,1280,23762,223,10510,11579
10005,197681,157905,25221,698,2035,13,7504,4305
11001,605759,239413,309263,2143,21440,312,20652,12536
12001,247973,174623,49795,570,13354,180,2756,6695
12003,27010,22683,3786,24,142,0,76,299
12005,168957,139352,17810,870,3357,130,598,6840
12007,28404,21868,5856,84,90,0,16,490
12009,544019,455284,54218,1477,11054,426,7423,14137
12011,1761993,1123976,470059,3853,58197,1233,60242,44433
12013,14639,11805,2239,203,27,0,183,182
12015,160380,145582,8984,335,1921,14,977,2567
12017,140805,131442,4113,442,2039,18,832,1919
12019,190891,158179,19132,689,5603,43,1833,5412
12021,323548,282480,21477,730,3813,60,10670,4318
12023,67546,52458,11882,309,394,0,795,1708
12027,34628,27958,4509,39,180,18,1452,472
12029,16301,14248,1532,39,46,0,24,412
12031,866431,535374,254680,2616,36377,670,12109,24605
12033,298864,207451,66734,1729,8539,549,2446,11416
12035,95987,77586,11032,195,2003,101,2881,2189
12037,11545,9528,1724,16,151,2,59,65
12039,46823,17330,26009,135,208,0,2356,785
12041,16880,15511,935,38,88,0,72,236
