FIPS,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More races
Geo_FIPS,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008
23023,35394,33962,344,51,253,0,62,722
23025,52098,50542,193,262,222,44,152,683
23027,38761,37673,131,102,163,0,99,593
23029,32832,30322,137,1326,142,21,99,785
23031,197861,190692,1060,705,2197,24,407,2776
24001,74645,66527,5767,116,644,34,426,1131
24003,538473,408521,82542,1384,18618,502,10407,16499
24005,807318,526372,210312,1956,40991,418,10567,16702
24009,88774,72392,12187,179,1114,0,704,2198
24011,32947,26504,4562,124,185,0,924,648
24013,167249,155665,5535,284,2557,0,805,2403
24015,101109,90583,6440,229,1098,31,853,1875
24017,147107,75096,59877,1320,4832,35,1295,4652
24019,32570,22064,9057,63,328,9,562,487
24021,234268,193183,20261,948,9129,136,4426,6185
24023,30079,29356,288,63,74,32,43,223
24025,245396,199515,31332,534,6036,57,2952,4970
24027,288676,180357,51279,484,41579,139,5727,9111
24029,20184,16322,3077,127,160,0,208,290
24031,974824,560968,167316,3282,136409,221,70481,36147
24033,865443,188843,555713,2526,35833,441,59409,22678
24035,47894,42659,3386,223,462,0,563,601
24037,105528,83742,14375,318,2476,50,630,3937
24039,26402,14267,10784,43,273,6,211,818
24041,37746,31050,5289,50,471,0,187,699
24043,147882,125987,14534,410,2265,40,1020,3626
24045,98940,68575,23469,453,2602,0,1360,2481
24047,51398,42641,7409,108,617,0,30,593
24510,620644,186860,395383,2099,14610,268,7822,13602
25001,216021,201956,4538,835,2409,8,2265,4010
25003,130866,121401,3479,296,1669,34,1055,2932
25005,548739,491011,20034,950,10516,41,13600,12587
25007,16581,15181,656,179,140,0,242,183
25009,744961,605090,26816,1189,23986,115,71917,15848
25011,71489,67612,644,204,988,6,464,1571
25013,464072,360893,40649,1449,9369,11,41794,9907
25015,158850,142760,3901,214,7538,66,1154,3217
25017,1507558,1216987,69773,1927,142527,619,38998,36727
25019,10194,9130,575,1,125,0,87,276
25021,672078,553604,39518,908,59147,51,8459,10391
25023,495407,426413,41590,832,6429,89,10926,9128
25025,724502,406050,161767,2344,60415,329,51418,42179
25027,799277,692860,32407,1580,32096,207,21264,18863
26001,10943,10719,18,33,35,0,11,127
26003,9531,8281,716,248,40,0,3,243
26005,111589,104388,1383,715,765,0,2437,1901
26007,29602,28763,149,169,170,0,76,275
26009,23634,22799,69,183,60,0,165,358
26011,15952,15371,252,83,30,0,81,135
26013,8808,6566,1030,711,150,2,30,319
26015,59249,57566,271,196,269,21,260,666
26017,107633,101486,1352,345,593,37,917,2903
26019,17554,16924,72,185,41,0,24,308
26021,156759,122185,23943,634,2598,58,3573,3768
26023,44920,42375,1262,133,272,3,317,558
26025,136063,112927,14885,747,2220,0,1204,4080
26027,52412,46460,2777,292,421,0,705,1757
26029,26057,24806,140,397,125,9,148,432
26031,26195,24460,121,632,67,0,53,862
26033,38919,28003,1960,6421,294,17,224,2000
26035,30924,29936,173,227,81,0,94,413
26037,75274,70560,1532,180,943,30,471,1558
26039,14119,13742,147,19,74,11,27,99
26041,37075,35049,97,773,37,72,47,1000
26043,26286,25471,75,49,147,0,56,488
26045,107861,95245,6262,298,1928,11,914,3203
26047,32799,30480,198,909,179,64,104,865
26049,425337,318400,86511,2279,4000,128,1920,12099
26051,25736,25087,140,88,101,2,126,192
26053,16297,14924,739,345,49,12,29,199
26055,87483,83097,1053,903,535,0,363,1532
26057,42340,38648,2188,139,171,20,419,755
26059,46617,45442,239,254,215,0,70,397
26061,36519,34390,253,260,1071,0,75,470
26063,33001,32169,70,142,176,0,124,320
26065,281323,215599,31215,1067,14737,123,5400,13182
26067,64149,58330,2496,291,185,5,867,1975
26069,25880,24991,96,257,175,0,43,318
26071,11837,11490,143,18,28,1,7,150
26073,70186,62536,1744,2182,1215,6,253,2250
26075,160257,140747,12940,961,1176,66,915,3452
26077,250704,206505,28158,1266,5615,94,2120,6946
26079,17231,16648,93,96,60,28,40,266
26081,605244,496127,58312,2392,14098,236,16188,17891
26083,2168,2095,55,0,2,6,1,9
26085,11543,10079,1049,98,13,0,34,270
26087,88626,85044,966,260,312,8,815,1221
26089,21677,20268,89,729,82,0,146,363
26091,99878,92544,2511,626,402,0,1665,2130
26093,181678,175601,772,509,1454,104,677,2561
26095,6590,5346,751,265,28,0,65,135
26097,11144,8494,96,1762,50,0,85,657
26099,841769,718496,72896,2554,26850,144,4722,16107
26101,24753,22856,754,502,51,0,116,474
26103,67178,62916,1066,1181,412,2,89,1512
26105,28672,27367,176,269,145,0,159,556
26107,42947,40189,1223,163,332,8,84,948
26109,24041,22909,50,454,44,2,9,573
26111,83744,78843,1073,326,1728,10,548,1216
26113,14945,14512,62,114,44,0,68,145
26115,151944,143893,3078,516,861,19,873,2704
26117,63357,59771,1544,196,202,0,450,1194
26119,9709,9485,29,24,6,0,13,152
26121,171755,138397,24007,1017,1073,55,1676,5530
26123,48517,45536,607,538,160,0,1004,672
26125,1207097,936574,161550,3459,69016,308,8434,27756
26127,26636,25213,139,243,75,0,536,430
26129,21674,21065,62,62,66,0,25,394
26131,6703,6519,45,61,17,0,5,56
26133,23486,22773,149,98,45,5,13,403
26135,8709,8492,6,89,6,0,5,111
26137,24175,23384,35,81,131,0,109,435
26139,264835,237054,3865,1114,7026,70,9903,5803
26141,13368,13037,38,86,50,15,36,106
26143,24447,23741,89,152,103,14,77,271
26145,200017,151291,37036,718,2193,122,2960,5697
26147,162978,153102,3937,361,847,13,1046,3672
26149,61314,57366,1644,191,357,0,462,1294
26151,43096,41806,197,157,44,4,302,586
26153,8455,7412,28,670,14,0,10,321
26155,70402,68415,403,385,224,39,161,775
26157,55616,53538,581,214,162,3,300,818
26159,76149,66916,3235,637,454,159,3279,1469
26161,346010,258770,42384,1017,27382,26,2935,13496
26163,1822469,959966,737559,6115,47832,483,30488,40026
26165,32694,31550,159,191,146,3,25,620
27001,16166,15432,76,262,72,0,34,290
27003,331649,288614,13811,2163,13395,69,5236,8361
27005,32600,28787,115,2248,140,4,91,1215
27007,44652,33521,367,8526,357,173,104,1604
27009,38560,36567,825,184,370,0,16,598
27011,5250,5162,17,11,2,0,4,54
27013,63991,59295,1670,156,1246,2,334,1288
27015,25772,25219,75,28,165,17,158,110
27017,35304,31634,565,1897,230,9,217,752
27019,91355,84539,975,158,2279,32,1546,1826
27021,28519,24518,78,2974,109,70,25,745
27023,12327,11631,46,79,52,97,221,201
27025,53526,51174,636,274,447,2,239,754
27027,58937,54597,898,895,733,47,540,1227
27029,8672,7533,51,766,48,0,9,265
27031,5206,4569,28,348,39,18,21,183
27033,11665,10807,63,30,271,0,309,185
27035,62521,60496,456,580,251,0,82,656
27037,399443,341770,19285,1694,17433,352,8678,10231
27039,20071,19493,112,23,110,0,175,158
27041,36167,35379,210,139,99,3,10,327
27043,14546,14104,75,59,28,0,155,125
27045,20880,20509,35,45,73,0,84,134
27047,31188,29760,239,110,291,0,451,337
27049,46144,44083,502,477,308,0,198,576
27051,6016,5885,30,9,18,0,32,42
27053,1158039,878366,135342,9486,72135,438,24964,37308
27055,19001,18564,39,40,35,6,30,287
27057,20372,19303,46,445,65,7,71,435
27059,38004,36594,231,234,252,6,58,629
27061,45052,42149,140,1439,195,23,124,982
27063,10273,9802,28,3,208,8,167,57
27065,16255,15823,88,103,66,0,0,175
27067,42150,39842,888,211,201,0,430,578
27069,4547,4426,26,20,21,0,10,44
27071,13293,12551,37,434,54,0,19,198
27073,7240,7093,29,22,37,3,0,56
27075,10849,10484,10,24,18,0,97,216
27077,4039,3856,45,35,40,0,0,63
27079,27744,26478,110,90,132,0,597,337
27081,5876,5755,13,26,11,5,53,13
27083,25714,23167,550,145,747,0,841,264
27085,36527,34931,287,132,230,0,580,367
27087,5442,2763,28,2138,66,0,36,411
27089,9475,9291,39,43,19,0,19,64
27091,20727,20202,72,14,92,0,152,195
27093,23262,22725,57,62,77,12,149,180
27095,26004,23725,121,1502,115,5,131,405
27097,33173,32345,146,53,170,0,118,341
27099,39115,36198,803,64,656,32,672,690
27101,8690,8425,21,20,33,29,71,91
27103,32689,30683,737,120,431,1,372,345
27105,21349,17764,764,67,1038,15,1273,428
27107,6796,6464,10,115,29,10,11,157
27109,144507,125401,6829,268,7786,41,1009,3173
27111,57381,55222,456,297,332,4,356,714
27113,13950,13118,192,166,99,29,69,277
27115,29564,27169,628,836,139,10,184,598
27117,9536,8944,62,144,32,12,194,148
27119,31426,29303,243,462,236,39,627,516
27121,10978,10781,53,48,35,0,0,61
27123,510885,366877,55021,3159,60239,237,7765,17587
27125,4100,3945,17,46,0,0,16,76
27127,16006,14319,91,771,526,0,70,229
27129,15653,14964,78,137,84,0,292,98
27131,64171,58228,2017,242,1219,49,1271,1145
27133,9620,9343,76,41,70,0,2,88
27135,15665,14814,56,164,405,0,18,208
27137,200150,186179,2841,4739,1880,28,614,3869
27139,130689,114098,3370,777,7445,17,1508,3474
27141,88558,83767,1583,409,1154,12,181,1452
27143,15189,14616,68,22,87,0,247,149
27145,150307,138603,4627,530,2977,31,1486,2053
27147,36524,34067,779,40,310,0,576,752
27149,9712,9102,44,201,72,0,105,188
27151,9764,9450,133,45,13,0,68,55
27153,24783,23629,70,77,133,0,586,288
27155,3549,3324,3,164,0,0,21,37
27157,21636,21203,97,28,85,0,67,156
27159,13808,13337,57,195,32,0,27,160
27161,19089,18013,381,76,112,0,60,447
27163,238721,210330,8241,613,12389,58,1703,5387
27165,11177,10225,106,15,133,17,526,155
27167,6584,6391,15,26,21,6,15,110
27169,51481,48774,603,86,1215,0,169,634
27171,124737,118062,1139,475,1122,0,1608,2331
27173,10357,9692,30,249,38,2,167,179
28001,32391,12794,18739,66,116,0,511,165
28003,37027,31735,4341,81,81,0,328,461
28005,13139,7477,5576,33,5,0,38,10
28007,19454,10891,8200,0,0,0,238,125
28009,8725,5306,3133,67,0,0,101,118
28011,34239,11235,22478,30,182,0,120,194
28013,14903,10565,4193,3,0,34,1,107
28015,10553,6825,3536,17,0,0,0,175
28017,17458,9632,7294,15,62,0,160,295
28019,8506,5731,2714,0,11,0,4,46
28021,9681,1395,8177,11,98,0,0,0
28023,16688,10694,5905,6,28,0,9,46
28025,20633,8257,12123,31,36,0,90,96
28027,26099,6064,19671,23,129,0,76,136
28029,29324,13558,15065,13,99,0,430,159
28031,19571,12248,7039,94,0,0,88,102
28033,161536,118518,32671,708,1991,56,1902,5690
28035,75378,45440,27418,82,639,0,823,976
28037,8055,5160,2787,31,44,0,0,33
28039,22579,20038,1900,20,48,0,313,260
28041,14352,10282,3466,86,11,0,102,405
28043,21886,12315,9309,55,105,0,0,102
28045,44044,38800,3368,46,498,0,581,751
28047,188110,133316,42030,681,5522,14,1475,5072
28049,246335,70718,170031,270,1861,15,1780,1660
28051,19207,3069,16040,0,9,0,32,57
28053,9399,2186,7130,14,0,0,12,57
28055,1556,523,1033,0,0,0,0,0
28057,23362,21619,1501,20,30,0,45,147
28059,139430,102171,30122,362,2986,0,1389,2400
28061,17033,7976,8795,0,3,0,52,207
28063,7743,1063,6674,0,6,0,0,0
28065,12364,4793,7480,0,54,0,0,37
28067,67868,46504,19124,86,356,0,1037,761
28069,10391,3729,6193,344,8,0,0,117
28071,47586,33938,11560,63,918,21,558,528
28073,55580,43044,10700,134,660,0,396,646
28075,80204,44540,33906,186,543,0,111,918
28077,12832,8471,4259,7,7,0,54,34
28079,23563,12300,9596,1360,0,0,122,185
28081,83235,58188,22819,77,641,5,562,943
28083,32196,8339,23049,163,242,12,264,127
28085,34850,23931,10634,97,57,0,12,119
28087,59584,32362,26040,70,328,0,245,539
28089,95481,55027,36495,189,2062,37,1090,581
28091,26810,17722,8806,3,17,0,62,200
28093,37019,18414,17587,39,70,9,604,296
28095,36912,25113,11428,35,33,15,24,264
28097,10866,5720,5086,0,10,0,0,50
28099,29682,18160,6191,4710,140,0,85,396
28101,21687,13698,6684,1074,6,7,94,124
28103,11511,3211,8274,8,0,0,0,18
28105,47486,27899,17514,87,1336,0,279,371
28107,34675,16964,17152,14,19,28,388,110
28109,55886,47236,7106,351,321,13,235,624
28111,12217,9462,2719,0,0,0,10,26
28113,40300,18805,20836,134,233,0,138,154
28115,29962,23956,4257,215,15,0,1223,296
28117,25384,21419,3365,21,164,21,134,260
28119,8171,2438,5700,6,13,0,0,14
28121,142136,110726,27012,300,1751,7,914,1426
28123,28207,16298,10732,24,212,0,839,102
28125,4835,1378,3442,6,0,0,0,9
28127,27476,17386,9673,73,159,0,76,109
28129,16425,12331,3924,0,16,0,60,94
28131,17657,13901,3419,15,21,0,28,273
28133,29230,7545,21330,36,99,16,145,59
28135,15262,6787,8200,40,128,8,62,37
28137,28580,19229,8795,0,107,4,275,170
28139,22095,17843,3263,28,85,0,452,424
28141,19573,18569,629,25,32,0,258,60
28143,10716,2612,7828,0,67,0,96,113
28145,27175,22420,3710,145,23,23,436,418
28147,15405,8112,7124,0,0,0,67,102
28149,48419,24565,22713,87,458,0,298,298
28151,51010,13841,36184,97,259,0,431,198
28153,20754,12458,8083,0,0,0,31,182
28155,10162,7997,1985,12,33,0,27,108
28157,9778,2870,6897,1,0,0,1,9
28159,19160,9995,9076,6,14,0,47,22
28161,12647,7651,4887,31,10,0,0,68
28163,28220,11032,15924,80,76,0,683,425
29001,25542,24094,492,83,404,80,39,350
29003,17205,16729,110,60,37,0,57,212
29005,5664,5539,62,9,2,0,17,35
29007,25617,22984,1633,87,42,0,292,579
29009,35680,32853,10,193,110,20,1404,1090
29011,12428,11794,13,109,81,0,104,327
29013,17003,16364,71,67,17,0,148,336
29015,19021,18473,35,117,126,0,82,188
29017,12389,12158,73,0,40,0,0,118
29019,163266,134707,14314,313,6173,111,2033,5615
29021,89162,79999,4021,313,703,164,1031,2931
29023,42792,38789,2343,132,271,0,357,900
29025,9302,9022,65,9,22,0,13,171
29027,44157,40661,1823,189,290,36,203,955
29029,43731,42433,174,148,247,0,179,550
29031,75690,67708,5342,164,925,82,329,1140
29033,9279,8950,169,6,36,0,28,90
29035,6225,5984,42,30,0,0,6,163
29037,99394,91569,3291,523,573,31,1284,2123
29039,13941,13515,29,45,55,1,43,253
29041,7759,7497,193,1,9,0,1,58
29043,77474,74303,467,319,408,0,457,1520
29045,7082,6915,45,18,17,0,18,69
29047,222048,196357,11132,424,4660,479,2050,6946
29049,20687,19817,292,97,48,37,37,359
29051,75813,63671,8582,284,836,41,1154,1245
29053,17542,15775,989,27,24,0,133,594
29055,24753,24225,44,135,42,1,3,303
29057,7811,7496,54,39,8,13,8,193
29059,16825,16206,23,0,0,0,119,477
29061,8341,8143,33,29,5,0,12,119
29063,12878,11175,1126,54,48,1,67,407
29065,15595,15034,52,160,125,7,17,200
29067,13690,13475,9,62,0,0,53,91
29069,31970,27972,3183,94,74,0,189,458
29071,101440,98448,1270,266,535,22,123,776
29073,15160,14841,47,83,47,0,18,124
29075,6773,6657,38,24,12,8,9,25
29077,275671,252247,7760,1235,4322,355,2214,7538
29079,10256,9956,92,55,32,0,5,116
29081,8901,8706,63,11,14,6,26,75
29083,22234,21459,267,60,54,58,62,274
29085,9554,8824,36,92,27,9,6,560
29087,4840,4709,34,41,19,0,4,33
29089,10160,9342,537,37,16,0,34,194
29091,40330,39042,136,378,93,0,24,657
29093,10563,10191,121,23,9,0,28,191
29095,672784,453515,160256,3192,11058,1477,22553,20733
29097,116493,106370,2263,1886,979,262,1422,3311
29099,218628,211034,1525,474,1177,164,756,3498
29101,52964,47784,2374,243,578,59,231,1695
29103,4111,3995,25,0,5,6,0,80
29105,35507,34130,234,126,198,22,103,694
29107,33278,31472,865,110,43,7,68,713
29109,38559,36699,125,262,185,0,731,557
29111,10203,9657,306,27,3,8,16,186
29113,52637,49836,1110,197,249,0,271,974
29115,12668,12292,75,18,27,2,26,228
29117,15068,14404,385,50,18,12,3,196
29119,22970,20317,211,589,230,133,624,866
29121,15532,14798,420,78,109,0,0,127
29123,12334,12003,21,8,87,8,82,125
29125,9140,8874,76,44,42,0,49,55
29127,28703,26349,1676,118,192,7,63,298
29129,3763,3695,19,2,22,0,0,25
29131,24822,24012,168,74,67,0,74,427
29133,14231,10602,3405,42,5,0,3,174
29135,15587,14198,709,113,23,3,91,450
29137,8876,8425,307,47,20,0,2,75
29139,12181,11712,96,14,39,0,34,286
29141,20479,19810,144,222,12,0,29,262
29143,18780,15379,2954,32,35,0,56,324
29145,58314,52933,493,1448,838,522,606,1474
29147,23305,22175,579,54,195,3,67,232
29149,10885,10465,16,129,31,0,28,216
29151,13857,13704,109,1,9,2,0,32
29153,9672,9435,14,23,0,0,18,182
29155,18288,13008,5060,38,14,0,13,155
29157,18986,18556,109,21,71,0,49,180
29159,42044,37782,1249,87,264,70,1663,929
29161,44825,40956,1012,292,1304,0,279,982
29163,18574,16763,1213,125,27,0,46,400
29165,89567,78483,5295,396,2350,324,1189,1530
29167,31035,29948,249,41,130,0,131,536
29169,51620,39868,5941,591,1522,301,1345,2052
29171,4976,4878,25,9,21,0,0,43
29173,10198,9897,39,53,8,0,38,163
29175,25388,23061,1644,62,138,0,111,372
29177,23422,22528,311,54,107,4,42,376
29179,6682,6460,59,45,3,0,15,100
29181,14070,13635,64,83,24,0,19,245
29183,360695,327981,16045,487,7997,95,1953,6137
29185,9693,9299,64,28,10,0,61,231
29186,18066,17647,137,6,0,194,18,64
29187,65246,61082,3061,211,126,0,129,637
29189,999147,705720,231255,1386,34256,316,5633,20581
29195,23232,20139,1341,38,101,124,1019,470
29197,4397,4317,41,15,6,9,0,9
29199,4843,4792,7,0,0,0,0,44
29201,39192,33804,4464,87,172,12,86,567
29203,8407,8112,49,106,0,0,0,140
29205,6328,6199,78,23,0,3,0,25
29207,29902,29062,432,182,12,0,59,155
29209,31968,27935,38,316,94,0,179,3406
29211,6667,6391,22,15,12,0,121,106
29213,51596,48610,139,150,270,0,771,1656
29215,25840,24120,864,158,32,0,95,571
29217,20958,20255,127,76,132,5,38,325
29219,32440,30594,540,26,72,5,462,741
29221,25120,24087,524,120,58,12,62,257
29223,13444,13046,34,106,11,4,17,226
29225,36183,34824,420,204,59,0,95,581
29227,2146,2123,0,0,0,0,0,23
29229,18732,18092,118,71,57,0,167,227
29510,318527,141594,155916,728,8461,75,2918,8835
30001,9228,8816,20,106,71,16,12,187
30003,12872,4236,1,8067,94,0,76,398
30005,6514,3187,0,3196,5,25,24,77
30007,5575,5325,36,8,26,0,1,179
30009,10057,9748,6,113,72,10,78,30
30011,1276,1255,0,17,0,0,2,2
30013,81248,72665,951,3519,467,2,424,3220
30015,5811,4469,0,1202,25,0,6,109
30017,11706,11217,28,164,50,23,56,168
30019,1734,1629,0,96,9,0,0,0
30021,9022,8696,17,177,12,11,7,102
30023,9277,8622,59,202,20,87,82,205
30025,3051,2989,0,5,0,0,0,57
30027,11507,11122,11,188,4,0,47,135
30029,90967,87017,209,1416,508,27,218,1572
30031,90339,85949,344,926,920,53,418,1729
30033,1100,1076,0,12,0,0,0,12
30035,13422,4244,1,8696,50,13,83,335
30037,769,766,0,0,0,0,1,2
30039,3083,3011,4,17,10,0,0,41
30041,16157,11917,33,3511,47,32,55,562
30043,11360,10864,73,90,51,0,37,245
30045,2052,2026,0,5,0,0,2,19
30047,28794,20215,60,6644,66,0,30,1779
30049,63432,59516,266,1471,292,23,231,1633
30051,2326,2246,8,33,0,14,15,10
30053,19594,18831,54,383,95,0,16,215
30055,1808,1764,0,2,0,0,0,42
30057,7688,7453,15,22,41,12,31,114
30059,1900,1876,0,5,5,0,6,8
30061,4203,3994,95,90,11,0,4,9
30063,109402,101761,453,2811,1205,147,343,2682
30065,4597,4411,12,24,0,0,22,128
30067,15655,15140,24,86,6,2,15,382
30069,566,536,21,0,0,0,0,9
30071,4203,3636,0,298,1,0,35,233
30073,6147,5105,30,882,14,0,26,90
30075,1639,1577,0,14,0,0,0,48
30077,7067,6534,27,253,38,16,16,183
30079,1193,1143,0,33,0,1,0,16
30081,40311,38841,111,382,207,0,84,686
30083,9961,9529,43,175,0,0,61,153
30085,10477,3836,5,5626,17,0,40,953
30087,9261,5720,47,3086,56,0,93,259
30089,11421,10484,26,639,30,0,43,199
30091,3447,3286,6,43,1,0,0,111
30093,34164,32503,71,544,201,0,163,682
30095,9096,8796,15,57,14,19,57,138
30097,3661,3565,0,0,20,0,0,76
30099,6082,5833,5,113,11,0,41,79
30101,5210,4733,17,261,1,14,66,118
30103,698,617,0,3,10,0,39,29
30105,7423,6464,9,804,8,3,12,123
30107,2142,2096,0,9,0,0,3,34
30109,899,890,9,0,0,0,0,0
30111,148191,134147,923,5872,1243,124,2610,3272
31001,31299,29659,204,126,412,6,410,482
31003,6655,6564,10,5,7,0,0,69
31005,490,487,0,0,0,0,0,3
31007,778,748,14,0,2,0,5,9
31009,584,568,0,0,0,0,0,16
31011,5473,5443,1,0,8,5,0,16
31013,11345,10253,11,441,34,0,346,260
31015,2025,1992,20,3,0,0,3,7
31017,3183,3131,4,0,6,0,0,42
31019,46330,43319,332,74,509,0,1288,808
31021,6829,6582,32,112,10,0,16,77
31023,8345,8140,76,21,5,0,92,11
31025,25214,24482,163,37,102,0,130,300
31027,8807,8714,12,19,15,0,0,47
31029,3964,3883,1,0,0,0,19,61
31031,5722,5349,13,144,75,0,0,141
31033,10038,9698,28,63,191,0,6,52
31035,6497,6343,14,66,0,27,16,31
31037,10453,9465,138,85,16,8,300,441
31039,9140,8749,43,6,13,0,217,112
31041,10904,10650,15,9,0,0,59,171
31043,20869,14769,744,499,677,0,3894,286
31045,9176,8335,197,409,133,0,0,102
31047,24267,19722,789,133,118,0,3179,326
31049,1962,1936,7,2,0,0,0,17
31051,5982,5810,19,33,0,0,70,50
31053,36590,35222,131,234,183,51,271,498
31055,518271,405196,58444,3512,13566,344,22053,15156
31057,1996,1981,3,0,5,0,4,3
31059,5867,5692,57,29,9,0,46,34
31061,3196,3141,7,10,5,0,3,30
31063,2693,2657,7,6,0,0,4,19
31065,4922,4803,7,61,4,0,25,22
31067,22209,21624,41,37,84,12,45,366
31069,2011,1960,0,0,13,2,0,36
31071,2106,2078,13,0,0,0,0,15
31073,2020,1937,12,22,0,0,30,19
31075,608,607,0,0,0,0,0,1
31077,2515,2495,14,3,0,0,0,3
31079,58681,53936,1191,486,592,0,1766,710
31081,9096,8950,16,15,7,0,15,93
31083,3419,3364,3,12,0,0,12,28
31085,1037,1019,2,0,6,0,3,7
31087,2898,2848,3,12,7,0,8,20
31089,10418,10097,2,78,19,0,187,35
31091,689,680,0,2,5,0,1,1
31093,6294,6181,36,38,9,0,14,16
31095,7572,7437,5,32,47,0,7,44
31097,5188,4663,279,17,51,0,80,98
31099,6514,6404,4,8,43,0,17,38
31101,8284,7948,17,43,13,33,77,153
31103,742,731,0,0,6,0,0,5
31105,3789,3634,30,57,3,0,42,23
31107,8648,7699,42,712,26,0,43,126
31109,286425,253964,10535,1887,10442,206,2332,7059
31111,36212,34094,242,59,189,2,653,973
31113,724,724,0,0,0,0,0,0
31115,534,495,0,4,0,0,18,17
31117,348,348,0,0,0,0,0,0
31119,34766,32498,442,595,205,49,558,419
31121,7779,7562,41,42,10,0,21,103
31123,4993,4819,4,27,21,0,32,90
31125,3730,3684,4,3,0,0,27,12
31127,7224,6981,60,50,33,0,44,56
31129,4490,4420,18,0,10,0,0,42
31131,15729,15288,23,40,56,0,52,270
31133,2753,2730,0,5,0,0,0,18
31135,2947,2925,0,0,0,0,5,17
31137,9184,8995,11,27,32,11,4,104
31139,7231,7099,6,26,17,0,14,69
31141,32195,30786,90,40,92,0,551,636
31143,5371,5216,8,8,8,0,61,70
31145,11013,10692,92,64,44,0,37,84
31147,8355,7911,14,87,24,0,11,308
31149,1540,1496,12,0,5,0,6,21
31151,14278,13340,190,48,95,0,312,293
31153,159413,142252,6487,677,3209,221,1892,4675
31155,20696,20214,57,69,51,0,108,197
31157,36835,34089,235,511,253,20,1012,715
31159,16729,16213,82,13,132,0,147,142
31161,5432,4680,9,395,29,0,4,315
31163,3133,3094,30,7,2,0,0,0
31165,1262,1224,0,0,0,0,10,28
31167,6139,5854,23,26,57,0,36,143
31169,5195,5097,6,5,2,0,3,82
31171,831,789,6,8,14,0,0,14
31173,6926,2765,33,3919,28,8,12,161
31175,4322,4240,1,11,0,0,25,45
31177,20201,19718,100,35,46,32,40,230
31179,9542,9123,137,0,45,0,122,115
31181,3773,3659,4,0,67,6,4,33
31183,725,685,0,0,0,0,36,4
31185,13727,13000,86,60,48,32,302,199
32001,24779,20441,447,1249,785,60,1019,778
32003,1954773,1337840,203875,11640,169472,13250,137234,81462
32005,47056,42561,190,1009,501,87,1075,1633
32007,49133,43614,501,2658,500,78,992,790
32009,916,826,7,28,0,0,43,12
32011,1809,1672,11,70,0,6,39,11
32013,16511,14539,51,908,126,6,573,308
32015,5751,5285,8,232,18,0,54,154
32017,5282,4787,159,266,13,3,14,40
32019,51797,45453,498,1454,793,199,1835,1565
32021,4718,3617,85,628,84,2,125,177
32023,43801,39416,1027,920,621,122,954,741
32027,6707,5732,282,193,30,5,237,228
32029,4010,3783,15,54,19,10,5,124
32031,422010,345079,10372,6765,21573,2523,21455,14243
32033,9967,8577,242,766,39,16,125,202
32510,55184,46852,535,1221,1671,105,3523,1277
33001,60206,58087,396,81,680,0,121,841
33003,47761,46531,63,190,250,0,69,658
33005,77106,74213,450,242,963,0,261,977
33007,32872,31875,195,128,123,0,92,459
33009,88985,83441,859,275,2588,6,264,1552
33011,401101,366151,8321,635,13390,120,5522,6962
33013,146742,140170,1517,248,2249,26,345,2187
33015,295872,283117,2284,335,5134,37,1110,3855
33017,123295,115715,1098,263,3054,0,719,2446
33019,43534,42140,156,73,253,14,188,710
34001,274402,180960,44727,867,20948,142,18154,8604
34003,906781,666754,50694,1507,132801,107,36516,18402
34005,449117,333460,72612,528,19759,122,9004,13632
34007,513660,332006,97391,2205,26329,133,39953,15643
34009,96987,88060,4685,523,944,7,1476,1292
34011,156864,100432,31654,1530,2060,6,15365,5817
34013,783840,339640,317719,2084,36585,534,60371,26907
34015,288187,239402,28656,460,7763,61,5265,6580
34017,636194,355293,82956,2522,85911,311,90564,18637
34019,127996,116882,3366,90,4101,228,1820,1509
34021,366442,232853,73852,1030,32978,49,18709,6971
34023,811064,509495,76560,1440,176635,254,29248,17432
34025,629263,525127,46100,1751,31963,30,10857,13435
34027,493472,407897,15367,923,44934,79,15373,8899
34029,575961,526812,17700,869,9873,70,11172,9465
34031,500168,329232,62737,1420,25657,68,66561,14493
34033,66007,52871,9535,155,649,3,1594,1200
34035,323650,229327,28280,492,46139,45,12887,6480
34037,148962,139363,2950,306,2649,11,1612,2071
34039,536383,317464,115746,862,24696,332,68251,9032
34041,108488,97693,4020,138,2641,0,2277,1719
35001,661924,462080,18731,30332,14963,606,109996,25216
35003,3686,3376,0,136,0,0,107,67
35005,65343,53373,1036,751,470,31,6699,2983
35006,27293,12865,116,11431,52,34,2034,761
35007,13614,10981,83,475,58,0,1625,392
35009,48101,33410,3081,800,641,49,8767,1353
35011,2069,1624,2,0,0,0,395,48
35013,208794,186963,3340,2345,2378,13,10205,3550
35015,53693,46503,287,772,16,84,3776,2255
35017,29602,22602,129,748,139,0,5331,653
35019,4655,3293,76,112,1,9,1073,91
35021,612,523,0,8,4,0,68,9
35023,4903,4004,67,22,0,0,751,59
35025,64670,55487,2520,578,181,0,4331,1573
35027,20440,17297,82,317,10,8,1885,841
35028,18008,15932,78,60,1021,18,360,539
35029,25162,22815,222,241,52,19,1332,481
